# laser: Santec TSL-550 (HW-triggered continuous sweep)
# sweep: 1545.0000 -> 1555.0000 nm, speed 50.00 nm/s, power 1.000 mW
wavelength_nm,coredaq_ch1_W,coredaq_ch2_W,coredaq_ch3_W,coredaq_ch4_W
1545.0690,-2.100000000e-10,-2.300000000e-10,1.800000000e-10,6.030000000e-09
1545.0700,-2.100000000e-10,-2.300000000e-10,1.400000000e-10,6.200000000e-09
1545.0710,-2.100000000e-10,-2.500000000e-10,1.200000000e-10,6.370000000e-09
1545.0720,-2.000000000e-10,-2.500000000e-10,1.200000000e-10,6.510000000e-09
1545.0730,-2.000000000e-10,-2.500000000e-10,1.200000000e-10,6.690000000e-09
1545.0740,-2.100000000e-10,-2.300000000e-10,1.100000000e-10,6.870000000e-09
1545.0750,-2.300000000e-10,-2.500000000e-10,8.000000000e-11,7.060000000e-09
1545.0760,-2.300000000e-10,-2.500000000e-10,6.000000000e-11,7.240000000e-09
1545.0770,-2.100000000e-10,-2.200000000e-10,6.000000000e-11,7.410000000e-09
1545.0780,-2.000000000e-10,-2.300000000e-10,5.000000000e-11,7.590000000e-09
1545.0790,-2.300000000e-10,-2.300000000e-10,3.000000000e-11,7.790000000e-09
1545.0800,-2.100000000e-10,-2.500000000e-10,0.000000000e+00,7.960000000e-09
1545.0810,-2.300000000e-10,-2.500000000e-10,-2.000000000e-11,8.170000000e-09
1545.0820,-2.100000000e-10,-2.300000000e-10,-3.000000000e-11,8.380000000e-09
1545.0830,-2.300000000e-10,-2.500000000e-10,-5.000000000e-11,8.530000000e-09
1545.0840,-2.300000000e-10,-2.300000000e-10,-9.000000000e-11,8.740000000e-09
1545.0850,-2.300000000e-10,-2.300000000e-10,-9.000000000e-11,8.960000000e-09
1545.0860,-2.400000000e-10,-2.300000000e-10,-6.000000000e-11,9.140000000e-09
1545.0870,-1.800000000e-10,-2.300000000e-10,-9.000000000e-11,9.330000000e-09
1545.0880,-2.400000000e-10,-2.300000000e-10,-1.100000000e-10,9.540000000e-09
1545.0890,-2.300000000e-10,-2.300000000e-10,-8.000000000e-11,9.790000000e-09
