# laser: Santec TSL-550 (HW-triggered continuous sweep)
# sweep: 1545.0000 -> 1555.0000 nm, speed 50.00 nm/s, power 1.000 mW
wavelength_nm,coredaq_ch1_W,coredaq_ch2_W,coredaq_ch3_W,coredaq_ch4_W
1545.0000,5.989000000e-08,2.653000000e-08,1.852000000e-08,2.696000000e-08
1545.0010,5.980000000e-08,2.669000000e-08,1.886000000e-08,2.658000000e-08
1545.0020,5.967000000e-08,2.684000000e-08,1.914000000e-08,2.618000000e-08
1545.0030,5.952000000e-08,2.696000000e-08,1.941000000e-08,2.575000000e-08
1545.0040,5.936000000e-08,2.701000000e-08,1.969000000e-08,2.534000000e-08
1545.0050,5.919000000e-08,2.709000000e-08,1.997000000e-08,2.486000000e-08
1545.0060,5.905000000e-08,2.711000000e-08,2.023000000e-08,2.440000000e-08
1545.0070,5.888000000e-08,2.711000000e-08,2.055000000e-08,2.395000000e-08
1545.0080,5.873000000e-08,2.714000000e-08,2.080000000e-08,2.346000000e-08
1545.0090,5.858000000e-08,2.709000000e-08,2.109000000e-08,2.299000000e-08
1545.0100,5.846000000e-08,2.708000000e-08,2.137000000e-08,2.259000000e-08
1545.0110,5.829000000e-08,2.699000000e-08,2.163000000e-08,2.214000000e-08
1545.0120,5.817000000e-08,2.688000000e-08,2.191000000e-08,2.171000000e-08
1545.0130,5.805000000e-08,2.674000000e-08,2.212000000e-08,2.129000000e-08
1545.0140,5.794000000e-08,2.664000000e-08,2.237000000e-08,2.094000000e-08
1545.0150,5.790000000e-08,2.648000000e-08,2.260000000e-08,2.060000000e-08
1545.0160,5.780000000e-08,2.629000000e-08,2.278000000e-08,2.030000000e-08
1545.0170,5.776000000e-08,2.609000000e-08,2.298000000e-08,2.003000000e-08
1545.0180,5.774000000e-08,2.591000000e-08,2.317000000e-08,1.979000000e-08
1545.0190,5.777000000e-08,2.568000000e-08,2.334000000e-08,1.960000000e-08
1545.0200,5.777000000e-08,2.546000000e-08,2.344000000e-08,1.947000000e-08
1545.0210,5.777000000e-08,2.521000000e-08,2.360000000e-08,1.938000000e-08
1545.0220,5.787000000e-08,2.501000000e-08,2.369000000e-08,1.933000000e-08
1545.0230,5.787000000e-08,2.477000000e-08,2.377000000e-08,1.930000000e-08
1545.0240,5.797000000e-08,2.452000000e-08,2.377000000e-08,1.933000000e-08
1545.0250,5.809000000e-08,2.429000000e-08,2.380000000e-08,1.939000000e-08
1545.0260,5.823000000e-08,2.406000000e-08,2.372000000e-08,1.948000000e-08
1545.0270,5.837000000e-08,2.382000000e-08,2.371000000e-08,1.963000000e-08
1545.0280,5.853000000e-08,2.362000000e-08,2.364000000e-08,1.984000000e-08
1545.0290,5.875000000e-08,2.342000000e-08,2.354000000e-08,2.008000000e-08
1545.0300,5.898000000e-08,2.326000000e-08,2.346000000e-08,2.036000000e-08
1545.0310,5.917000000e-08,2.309000000e-08,2.335000000e-08,2.070000000e-08
1545.0320,5.948000000e-08,2.297000000e-08,2.326000000e-08,2.101000000e-08
1545.0330,5.975000000e-08,2.287000000e-08,2.314000000e-08,2.138000000e-08
1545.0340,6.002000000e-08,2.284000000e-08,2.303000000e-08,2.181000000e-08
1545.0350,6.030000000e-08,2.276000000e-08,2.289000000e-08,2.223000000e-08
1545.0360,6.060000000e-08,2.269000000e-08,2.274000000e-08,2.266000000e-08
1545.0370,6.088000000e-08,2.269000000e-08,2.258000000e-08,2.309000000e-08
1545.0380,6.118000000e-08,2.269000000e-08,2.244000000e-08,2.358000000e-08
1545.0390,6.147000000e-08,2.274000000e-08,2.235000000e-08,2.406000000e-08
1545.0400,6.177000000e-08,2.279000000e-08,2.223000000e-08,2.455000000e-08
1545.0410,6.203000000e-08,2.294000000e-08,2.217000000e-08,2.499000000e-08
1545.0420,6.228000000e-08,2.306000000e-08,2.209000000e-08,2.544000000e-08
1545.0430,6.250000000e-08,2.317000000e-08,2.200000000e-08,2.589000000e-08
1545.0440,6.269000000e-08,2.332000000e-08,2.195000000e-08,2.630000000e-08
1545.0450,6.287000000e-08,2.354000000e-08,2.192000000e-08,2.675000000e-08
1545.0460,6.308000000e-08,2.374000000e-08,2.187000000e-08,2.715000000e-08
1545.0470,6.326000000e-08,2.401000000e-08,2.187000000e-08,2.749000000e-08
1545.0480,6.339000000e-08,2.422000000e-08,2.187000000e-08,2.786000000e-08
1545.0490,6.349000000e-08,2.452000000e-08,2.192000000e-08,2.817000000e-08
1545.0500,6.349000000e-08,2.477000000e-08,2.194000000e-08,2.846000000e-08
1545.0510,6.358000000e-08,2.514000000e-08,2.203000000e-08,2.872000000e-08
1545.0520,6.360000000e-08,2.544000000e-08,2.217000000e-08,2.895000000e-08
1545.0530,6.358000000e-08,2.576000000e-08,2.229000000e-08,2.912000000e-08
1545.0540,6.349000000e-08,2.604000000e-08,2.244000000e-08,2.926000000e-08
1545.0550,6.342000000e-08,2.643000000e-08,2.263000000e-08,2.936000000e-08
1545.0560,6.326000000e-08,2.671000000e-08,2.283000000e-08,2.942000000e-08
1545.0570,6.310000000e-08,2.701000000e-08,2.303000000e-08,2.941000000e-08
1545.0580,6.288000000e-08,2.736000000e-08,2.324000000e-08,2.939000000e-08
1545.0590,6.275000000e-08,2.769000000e-08,2.352000000e-08,2.936000000e-08
1545.0600,6.250000000e-08,2.801000000e-08,2.377000000e-08,2.926000000e-08
1545.0610,6.226000000e-08,2.833000000e-08,2.403000000e-08,2.914000000e-08
1545.0620,6.200000000e-08,2.863000000e-08,2.431000000e-08,2.899000000e-08
1545.0630,6.173000000e-08,2.890000000e-08,2.460000000e-08,2.883000000e-08
1545.0640,6.145000000e-08,2.915000000e-08,2.491000000e-08,2.860000000e-08
1545.0650,6.115000000e-08,2.943000000e-08,2.521000000e-08,2.837000000e-08
1545.0660,6.086000000e-08,2.965000000e-08,2.549000000e-08,2.811000000e-08
1545.0670,6.059000000e-08,2.986000000e-08,2.581000000e-08,2.785000000e-08
1545.0680,6.027000000e-08,3.003000000e-08,2.609000000e-08,2.753000000e-08
1545.0690,5.999000000e-08,3.020000000e-08,2.640000000e-08,2.728000000e-08
1545.0700,5.972000000e-08,3.030000000e-08,2.667000000e-08,2.694000000e-08
1545.0710,5.940000000e-08,3.040000000e-08,2.694000000e-08,2.657000000e-08
1545.0720,5.917000000e-08,3.048000000e-08,2.723000000e-08,2.623000000e-08
1545.0730,5.896000000e-08,3.055000000e-08,2.750000000e-08,2.593000000e-08
1545.0740,5.875000000e-08,3.058000000e-08,2.777000000e-08,2.559000000e-08
1545.0750,5.858000000e-08,3.056000000e-08,2.800000000e-08,2.531000000e-08
1545.0760,5.840000000e-08,3.050000000e-08,2.820000000e-08,2.496000000e-08
1545.0770,5.828000000e-08,3.046000000e-08,2.841000000e-08,2.468000000e-08
1545.0780,5.818000000e-08,3.040000000e-08,2.858000000e-08,2.443000000e-08
1545.0790,5.809000000e-08,3.028000000e-08,2.875000000e-08,2.418000000e-08
1545.0800,5.799000000e-08,3.011000000e-08,2.889000000e-08,2.392000000e-08
1545.0810,5.799000000e-08,3.000000000e-08,2.904000000e-08,2.373000000e-08
1545.0820,5.793000000e-08,2.981000000e-08,2.909000000e-08,2.354000000e-08
1545.0830,5.794000000e-08,2.960000000e-08,2.912000000e-08,2.336000000e-08
1545.0840,5.802000000e-08,2.943000000e-08,2.920000000e-08,2.326000000e-08
1545.0850,5.808000000e-08,2.928000000e-08,2.921000000e-08,2.317000000e-08
1545.0860,5.818000000e-08,2.906000000e-08,2.920000000e-08,2.311000000e-08
1545.0870,5.829000000e-08,2.885000000e-08,2.915000000e-08,2.311000000e-08
1545.0880,5.847000000e-08,2.865000000e-08,2.910000000e-08,2.312000000e-08
1545.0890,5.866000000e-08,2.845000000e-08,2.903000000e-08,2.315000000e-08
1545.0900,5.885000000e-08,2.825000000e-08,2.890000000e-08,2.321000000e-08
1545.0910,5.910000000e-08,2.803000000e-08,2.883000000e-08,2.336000000e-08
1545.0920,5.936000000e-08,2.786000000e-08,2.870000000e-08,2.351000000e-08
1545.0930,5.964000000e-08,2.769000000e-08,2.854000000e-08,2.373000000e-08
1545.0940,5.993000000e-08,2.753000000e-08,2.835000000e-08,2.394000000e-08
1545.0950,6.024000000e-08,2.739000000e-08,2.818000000e-08,2.419000000e-08
1545.0960,6.062000000e-08,2.729000000e-08,2.803000000e-08,2.449000000e-08
1545.0970,6.094000000e-08,2.716000000e-08,2.778000000e-08,2.479000000e-08
1545.0980,6.133000000e-08,2.708000000e-08,2.758000000e-08,2.511000000e-08
1545.0990,6.168000000e-08,2.701000000e-08,2.735000000e-08,2.547000000e-08
1545.1000,6.203000000e-08,2.694000000e-08,2.712000000e-08,2.583000000e-08
1545.1010,6.240000000e-08,2.689000000e-08,2.689000000e-08,2.621000000e-08
1545.1020,6.276000000e-08,2.691000000e-08,2.664000000e-08,2.661000000e-08
1545.1030,6.310000000e-08,2.693000000e-08,2.640000000e-08,2.701000000e-08
1545.1040,6.346000000e-08,2.698000000e-08,2.617000000e-08,2.743000000e-08
1545.1050,6.374000000e-08,2.703000000e-08,2.597000000e-08,2.777000000e-08
1545.1060,6.402000000e-08,2.713000000e-08,2.574000000e-08,2.813000000e-08
1545.1070,6.433000000e-08,2.728000000e-08,2.554000000e-08,2.852000000e-08
1545.1080,6.457000000e-08,2.743000000e-08,2.535000000e-08,2.887000000e-08
1545.1090,6.480000000e-08,2.756000000e-08,2.518000000e-08,2.920000000e-08
1545.1100,6.497000000e-08,2.779000000e-08,2.504000000e-08,2.953000000e-08
1545.1110,6.518000000e-08,2.799000000e-08,2.492000000e-08,2.978000000e-08
1545.1120,6.527000000e-08,2.821000000e-08,2.478000000e-08,3.002000000e-08
1545.1130,6.538000000e-08,2.843000000e-08,2.469000000e-08,3.021000000e-08
1545.1140,6.542000000e-08,2.870000000e-08,2.461000000e-08,3.036000000e-08
1545.1150,6.545000000e-08,2.896000000e-08,2.458000000e-08,3.052000000e-08
1545.1160,6.542000000e-08,2.926000000e-08,2.458000000e-08,3.061000000e-08
1545.1170,6.536000000e-08,2.955000000e-08,2.458000000e-08,3.066000000e-08
1545.1180,6.523000000e-08,2.981000000e-08,2.458000000e-08,3.066000000e-08
1545.1190,6.512000000e-08,3.008000000e-08,2.464000000e-08,3.069000000e-08
1545.1200,6.500000000e-08,3.035000000e-08,2.477000000e-08,3.060000000e-08
1545.1210,6.483000000e-08,3.060000000e-08,2.483000000e-08,3.049000000e-08
1545.1220,6.466000000e-08,3.083000000e-08,2.495000000e-08,3.036000000e-08
1545.1230,6.450000000e-08,3.105000000e-08,2.511000000e-08,3.016000000e-08
1545.1240,6.428000000e-08,3.128000000e-08,2.527000000e-08,2.994000000e-08
1545.1250,6.405000000e-08,3.148000000e-08,2.541000000e-08,2.969000000e-08
1545.1260,6.384000000e-08,3.167000000e-08,2.561000000e-08,2.945000000e-08
1545.1270,6.361000000e-08,3.187000000e-08,2.581000000e-08,2.914000000e-08
1545.1280,6.339000000e-08,3.200000000e-08,2.598000000e-08,2.883000000e-08
1545.1290,6.319000000e-08,3.215000000e-08,2.621000000e-08,2.850000000e-08
1545.1300,6.297000000e-08,3.223000000e-08,2.643000000e-08,2.813000000e-08
1545.1310,6.276000000e-08,3.233000000e-08,2.664000000e-08,2.774000000e-08
1545.1320,6.253000000e-08,3.240000000e-08,2.686000000e-08,2.737000000e-08
1545.1330,6.240000000e-08,3.247000000e-08,2.710000000e-08,2.698000000e-08
1545.1340,6.226000000e-08,3.248000000e-08,2.732000000e-08,2.658000000e-08
1545.1350,6.211000000e-08,3.250000000e-08,2.755000000e-08,2.620000000e-08
1545.1360,6.200000000e-08,3.248000000e-08,2.774000000e-08,2.584000000e-08
1545.1370,6.194000000e-08,3.245000000e-08,2.797000000e-08,2.550000000e-08
