# laser: Santec TSL-550 (HW-triggered continuous sweep)
# sweep: 1500.0000 -> 1550.0000 nm, speed 50.00 nm/s, power 10.000 mW
wavelength_nm,coredaq_ch1_W,coredaq_ch2_W,coredaq_ch3_W,coredaq_ch4_W
1500.0000,7.946000000e-07,7.158000000e-07,7.505000000e-07,8.375000000e-07
1500.0010,7.968000000e-07,7.136000000e-07,7.527000000e-07,8.524000000e-07
1500.0020,7.986000000e-07,7.111000000e-07,7.547000000e-07,8.661000000e-07
1500.0030,8.000000000e-07,7.094000000e-07,7.567000000e-07,8.783000000e-07
1500.0040,8.021000000e-07,7.078000000e-07,7.587000000e-07,8.880000000e-07
1500.0050,8.047000000e-07,7.079000000e-07,7.613000000e-07,8.968000000e-07
1500.0060,8.067000000e-07,7.083000000e-07,7.630000000e-07,9.030000000e-07
1500.0070,8.090000000e-07,7.083000000e-07,7.638000000e-07,9.069000000e-07
1500.0080,8.116000000e-07,7.086000000e-07,7.646000000e-07,9.101000000e-07
1500.0090,8.138000000e-07,7.094000000e-07,7.649000000e-07,9.115000000e-07
1500.0100,8.162000000e-07,7.111000000e-07,7.655000000e-07,9.101000000e-07
1500.0110,8.180000000e-07,7.131000000e-07,7.667000000e-07,9.051000000e-07
1500.0120,8.200000000e-07,7.162000000e-07,7.681000000e-07,8.974000000e-07
1500.0130,8.208000000e-07,7.193000000e-07,7.694000000e-07,8.871000000e-07
1500.0140,8.209000000e-07,7.230000000e-07,7.707000000e-07,8.756000000e-07
1500.0150,8.208000000e-07,7.269000000e-07,7.711000000e-07,8.622000000e-07
1500.0160,8.199000000e-07,7.306000000e-07,7.717000000e-07,8.482000000e-07
1500.0170,8.194000000e-07,7.346000000e-07,7.726000000e-07,8.332000000e-07
1500.0180,8.194000000e-07,7.386000000e-07,7.735000000e-07,8.162000000e-07
1500.0190,8.185000000e-07,7.426000000e-07,7.740000000e-07,7.977000000e-07
1500.0200,8.187000000e-07,7.468000000e-07,7.746000000e-07,7.785000000e-07
1500.0210,8.180000000e-07,7.515000000e-07,7.744000000e-07,7.591000000e-07
1500.0220,8.185000000e-07,7.569000000e-07,7.743000000e-07,7.402000000e-07
1500.0230,8.180000000e-07,7.616000000e-07,7.735000000e-07,7.218000000e-07
1500.0240,8.174000000e-07,7.661000000e-07,7.729000000e-07,7.031000000e-07
1500.0250,8.164000000e-07,7.708000000e-07,7.724000000e-07,6.849000000e-07
1500.0260,8.154000000e-07,7.760000000e-07,7.720000000e-07,6.680000000e-07
1500.0270,8.139000000e-07,7.814000000e-07,7.712000000e-07,6.518000000e-07
1500.0280,8.121000000e-07,7.862000000e-07,7.701000000e-07,6.373000000e-07
1500.0290,8.098000000e-07,7.902000000e-07,7.687000000e-07,6.236000000e-07
1500.0300,8.070000000e-07,7.938000000e-07,7.678000000e-07,6.120000000e-07
1500.0310,8.047000000e-07,7.970000000e-07,7.666000000e-07,6.020000000e-07
1500.0320,8.024000000e-07,8.001000000e-07,7.653000000e-07,5.931000000e-07
1500.0330,7.998000000e-07,8.037000000e-07,7.636000000e-07,5.861000000e-07
1500.0340,7.974000000e-07,8.065000000e-07,7.610000000e-07,5.806000000e-07
1500.0350,7.946000000e-07,8.094000000e-07,7.586000000e-07,5.771000000e-07
1500.0360,7.919000000e-07,8.122000000e-07,7.564000000e-07,5.763000000e-07
1500.0370,7.896000000e-07,8.144000000e-07,7.541000000e-07,5.770000000e-07
1500.0380,7.876000000e-07,8.166000000e-07,7.519000000e-07,5.792000000e-07
1500.0390,7.858000000e-07,8.182000000e-07,7.502000000e-07,5.834000000e-07
1500.0400,7.830000000e-07,8.189000000e-07,7.481000000e-07,5.888000000e-07
1500.0410,7.791000000e-07,8.194000000e-07,7.461000000e-07,5.961000000e-07
1500.0420,7.752000000e-07,8.192000000e-07,7.442000000e-07,6.052000000e-07
1500.0430,7.720000000e-07,8.192000000e-07,7.428000000e-07,6.168000000e-07
1500.0440,7.690000000e-07,8.181000000e-07,7.408000000e-07,6.293000000e-07
1500.0450,7.667000000e-07,8.174000000e-07,7.396000000e-07,6.430000000e-07
1500.0460,7.639000000e-07,8.161000000e-07,7.382000000e-07,6.573000000e-07
1500.0470,7.618000000e-07,8.147000000e-07,7.374000000e-07,6.727000000e-07
1500.0480,7.598000000e-07,8.130000000e-07,7.369000000e-07,6.889000000e-07
1500.0490,7.581000000e-07,8.117000000e-07,7.363000000e-07,7.066000000e-07
1500.0500,7.552000000e-07,8.107000000e-07,7.363000000e-07,7.250000000e-07
1500.0510,7.518000000e-07,8.089000000e-07,7.360000000e-07,7.437000000e-07
1500.0520,7.489000000e-07,8.063000000e-07,7.359000000e-07,7.631000000e-07
1500.0530,7.476000000e-07,8.040000000e-07,7.356000000e-07,7.819000000e-07
1500.0540,7.463000000e-07,8.006000000e-07,7.357000000e-07,7.993000000e-07
1500.0550,7.445000000e-07,7.971000000e-07,7.362000000e-07,8.165000000e-07
1500.0560,7.427000000e-07,7.939000000e-07,7.371000000e-07,8.336000000e-07
1500.0570,7.417000000e-07,7.909000000e-07,7.391000000e-07,8.504000000e-07
1500.0580,7.416000000e-07,7.879000000e-07,7.416000000e-07,8.653000000e-07
1500.0590,7.413000000e-07,7.861000000e-07,7.437000000e-07,8.791000000e-07
1500.0600,7.407000000e-07,7.835000000e-07,7.457000000e-07,8.908000000e-07
1500.0610,7.407000000e-07,7.810000000e-07,7.485000000e-07,9.005000000e-07
1500.0620,7.410000000e-07,7.792000000e-07,7.513000000e-07,9.087000000e-07
1500.0630,7.411000000e-07,7.777000000e-07,7.545000000e-07,9.154000000e-07
1500.0640,7.416000000e-07,7.763000000e-07,7.572000000e-07,9.200000000e-07
1500.0650,7.417000000e-07,7.750000000e-07,7.599000000e-07,9.221000000e-07
1500.0660,7.416000000e-07,7.742000000e-07,7.629000000e-07,9.218000000e-07
1500.0670,7.417000000e-07,7.740000000e-07,7.663000000e-07,9.184000000e-07
1500.0680,7.424000000e-07,7.745000000e-07,7.690000000e-07,9.130000000e-07
1500.0690,7.434000000e-07,7.757000000e-07,7.712000000e-07,9.059000000e-07
1500.0700,7.448000000e-07,7.770000000e-07,7.727000000e-07,8.969000000e-07
1500.0710,7.450000000e-07,7.790000000e-07,7.741000000e-07,8.852000000e-07
1500.0720,7.454000000e-07,7.820000000e-07,7.760000000e-07,8.716000000e-07
1500.0730,7.446000000e-07,7.845000000e-07,7.769000000e-07,8.557000000e-07
1500.0740,7.442000000e-07,7.874000000e-07,7.777000000e-07,8.385000000e-07
1500.0750,7.434000000e-07,7.909000000e-07,7.778000000e-07,8.197000000e-07
1500.0760,7.416000000e-07,7.943000000e-07,7.780000000e-07,8.011000000e-07
1500.0770,7.387000000e-07,7.973000000e-07,7.778000000e-07,7.822000000e-07
1500.0780,7.359000000e-07,8.001000000e-07,7.768000000e-07,7.619000000e-07
1500.0790,7.330000000e-07,8.035000000e-07,7.751000000e-07,7.408000000e-07
1500.0800,7.312000000e-07,8.070000000e-07,7.735000000e-07,7.193000000e-07
1500.0810,7.283000000e-07,8.107000000e-07,7.717000000e-07,6.976000000e-07
1500.0820,7.255000000e-07,8.146000000e-07,7.700000000e-07,6.776000000e-07
1500.0830,7.222000000e-07,8.177000000e-07,7.672000000e-07,6.582000000e-07
1500.0840,7.190000000e-07,8.208000000e-07,7.638000000e-07,6.400000000e-07
1500.0850,7.156000000e-07,8.231000000e-07,7.607000000e-07,6.235000000e-07
1500.0860,7.122000000e-07,8.256000000e-07,7.575000000e-07,6.087000000e-07
1500.0870,7.075000000e-07,8.286000000e-07,7.547000000e-07,5.958000000e-07
1500.0880,7.029000000e-07,8.303000000e-07,7.521000000e-07,5.839000000e-07
1500.0890,6.983000000e-07,8.322000000e-07,7.493000000e-07,5.737000000e-07
1500.0900,6.946000000e-07,8.335000000e-07,7.464000000e-07,5.664000000e-07
1500.0910,6.908000000e-07,8.345000000e-07,7.436000000e-07,5.612000000e-07
1500.0920,6.868000000e-07,8.348000000e-07,7.405000000e-07,5.576000000e-07
1500.0930,6.826000000e-07,8.348000000e-07,7.379000000e-07,5.566000000e-07
1500.0940,6.792000000e-07,8.358000000e-07,7.360000000e-07,5.587000000e-07
1500.0950,6.755000000e-07,8.360000000e-07,7.334000000e-07,5.618000000e-07
1500.0960,6.728000000e-07,8.363000000e-07,7.315000000e-07,5.672000000e-07
1500.0970,6.700000000e-07,8.370000000e-07,7.294000000e-07,5.743000000e-07
1500.0980,6.674000000e-07,8.372000000e-07,7.271000000e-07,5.833000000e-07
1500.0990,6.648000000e-07,8.377000000e-07,7.257000000e-07,5.938000000e-07
1500.1000,6.624000000e-07,8.382000000e-07,7.246000000e-07,6.058000000e-07
1500.1010,6.599000000e-07,8.380000000e-07,7.244000000e-07,6.187000000e-07
1500.1020,6.586000000e-07,8.379000000e-07,7.244000000e-07,6.336000000e-07
1500.1030,6.569000000e-07,8.368000000e-07,7.244000000e-07,6.487000000e-07
1500.1040,6.564000000e-07,8.365000000e-07,7.240000000e-07,6.646000000e-07
1500.1050,6.561000000e-07,8.357000000e-07,7.240000000e-07,6.804000000e-07
1500.1060,6.557000000e-07,8.352000000e-07,7.241000000e-07,6.968000000e-07
1500.1070,6.561000000e-07,8.348000000e-07,7.251000000e-07,7.132000000e-07
1500.1080,6.564000000e-07,8.333000000e-07,7.255000000e-07,7.288000000e-07
1500.1090,6.580000000e-07,8.323000000e-07,7.269000000e-07,7.440000000e-07
1500.1100,6.587000000e-07,8.308000000e-07,7.275000000e-07,7.582000000e-07
1500.1110,6.595000000e-07,8.290000000e-07,7.281000000e-07,7.718000000e-07
1500.1120,6.607000000e-07,8.280000000e-07,7.295000000e-07,7.840000000e-07
1500.1130,6.627000000e-07,8.268000000e-07,7.312000000e-07,7.958000000e-07
1500.1140,6.641000000e-07,8.255000000e-07,7.326000000e-07,8.060000000e-07
1500.1150,6.664000000e-07,8.243000000e-07,7.337000000e-07,8.151000000e-07
1500.1160,6.687000000e-07,8.234000000e-07,7.356000000e-07,8.226000000e-07
1500.1170,6.709000000e-07,8.229000000e-07,7.373000000e-07,8.284000000e-07
1500.1180,6.735000000e-07,8.223000000e-07,7.391000000e-07,8.327000000e-07
1500.1190,6.760000000e-07,8.216000000e-07,7.410000000e-07,8.360000000e-07
1500.1200,6.786000000e-07,8.211000000e-07,7.427000000e-07,8.376000000e-07
1500.1210,6.809000000e-07,8.206000000e-07,7.436000000e-07,8.375000000e-07
1500.1220,6.833000000e-07,8.204000000e-07,7.453000000e-07,8.370000000e-07
1500.1230,6.855000000e-07,8.191000000e-07,7.457000000e-07,8.341000000e-07
1500.1240,6.884000000e-07,8.196000000e-07,7.467000000e-07,8.305000000e-07
1500.1250,6.904000000e-07,8.198000000e-07,7.479000000e-07,8.254000000e-07
1500.1260,6.917000000e-07,8.203000000e-07,7.494000000e-07,8.190000000e-07
1500.1270,6.928000000e-07,8.209000000e-07,7.521000000e-07,8.120000000e-07
1500.1280,6.940000000e-07,8.219000000e-07,7.545000000e-07,8.037000000e-07
1500.1290,6.954000000e-07,8.231000000e-07,7.569000000e-07,7.944000000e-07
1500.1300,6.969000000e-07,8.246000000e-07,7.587000000e-07,7.846000000e-07
1500.1310,6.982000000e-07,8.263000000e-07,7.595000000e-07,7.738000000e-07
1500.1320,6.991000000e-07,8.286000000e-07,7.607000000e-07,7.625000000e-07
1500.1330,6.998000000e-07,8.305000000e-07,7.619000000e-07,7.499000000e-07
1500.1340,6.997000000e-07,8.323000000e-07,7.638000000e-07,7.364000000e-07
1500.1350,6.995000000e-07,8.338000000e-07,7.653000000e-07,7.227000000e-07
1500.1360,6.986000000e-07,8.357000000e-07,7.664000000e-07,7.093000000e-07
1500.1370,6.982000000e-07,8.374000000e-07,7.675000000e-07,6.943000000e-07
1500.1380,6.977000000e-07,8.390000000e-07,7.680000000e-07,6.795000000e-07
1500.1390,6.965000000e-07,8.412000000e-07,7.684000000e-07,6.645000000e-07
1500.1400,6.950000000e-07,8.437000000e-07,7.684000000e-07,6.493000000e-07
1500.1410,6.940000000e-07,8.459000000e-07,7.681000000e-07,6.341000000e-07
1500.1420,6.924000000e-07,8.474000000e-07,7.680000000e-07,6.189000000e-07
1500.1430,6.911000000e-07,8.496000000e-07,7.667000000e-07,6.035000000e-07
1500.1440,6.894000000e-07,8.521000000e-07,7.649000000e-07,5.891000000e-07
1500.1450,6.872000000e-07,8.545000000e-07,7.635000000e-07,5.754000000e-07
1500.1460,6.842000000e-07,8.565000000e-07,7.623000000e-07,5.622000000e-07
1500.1470,6.817000000e-07,8.588000000e-07,7.609000000e-07,5.497000000e-07
1500.1480,6.787000000e-07,8.603000000e-07,7.595000000e-07,5.374000000e-07
1500.1490,6.768000000e-07,8.623000000e-07,7.578000000e-07,5.274000000e-07
1500.1500,6.740000000e-07,8.642000000e-07,7.558000000e-07,5.184000000e-07
1500.1510,6.711000000e-07,8.660000000e-07,7.538000000e-07,5.114000000e-07
1500.1520,6.683000000e-07,8.675000000e-07,7.511000000e-07,5.056000000e-07
1500.1530,6.653000000e-07,8.689000000e-07,7.487000000e-07,5.016000000e-07
1500.1540,6.625000000e-07,8.704000000e-07,7.462000000e-07,4.997000000e-07
1500.1550,6.596000000e-07,8.722000000e-07,7.430000000e-07,4.994000000e-07
1500.1560,6.573000000e-07,8.741000000e-07,7.405000000e-07,4.998000000e-07
1500.1570,6.549000000e-07,8.761000000e-07,7.380000000e-07,5.020000000e-07
1500.1580,6.520000000e-07,8.784000000e-07,7.360000000e-07,5.059000000e-07
1500.1590,6.498000000e-07,8.813000000e-07,7.349000000e-07,5.126000000e-07
1500.1600,6.480000000e-07,8.833000000e-07,7.337000000e-07,5.199000000e-07
1500.1610,6.463000000e-07,8.848000000e-07,7.323000000e-07,5.295000000e-07
1500.1620,6.456000000e-07,8.866000000e-07,7.311000000e-07,5.397000000e-07
1500.1630,6.446000000e-07,8.876000000e-07,7.295000000e-07,5.508000000e-07
1500.1640,6.436000000e-07,8.878000000e-07,7.280000000e-07,5.630000000e-07
1500.1650,6.430000000e-07,8.883000000e-07,7.274000000e-07,5.765000000e-07
1500.1660,6.419000000e-07,8.890000000e-07,7.268000000e-07,5.915000000e-07
1500.1670,6.408000000e-07,8.892000000e-07,7.255000000e-07,6.053000000e-07
1500.1680,6.401000000e-07,8.902000000e-07,7.249000000e-07,6.195000000e-07
1500.1690,6.401000000e-07,8.903000000e-07,7.241000000e-07,6.326000000e-07
1500.1700,6.399000000e-07,8.905000000e-07,7.229000000e-07,6.469000000e-07
1500.1710,6.401000000e-07,8.902000000e-07,7.218000000e-07,6.607000000e-07
1500.1720,6.396000000e-07,8.895000000e-07,7.214000000e-07,6.734000000e-07
1500.1730,6.398000000e-07,8.888000000e-07,7.210000000e-07,6.856000000e-07
1500.1740,6.399000000e-07,8.875000000e-07,7.207000000e-07,6.974000000e-07
1500.1750,6.398000000e-07,8.863000000e-07,7.201000000e-07,7.078000000e-07
1500.1760,6.398000000e-07,8.856000000e-07,7.197000000e-07,7.172000000e-07
1500.1770,6.399000000e-07,8.840000000e-07,7.187000000e-07,7.250000000e-07
1500.1780,6.408000000e-07,8.823000000e-07,7.175000000e-07,7.315000000e-07
1500.1790,6.425000000e-07,8.803000000e-07,7.155000000e-07,7.366000000e-07
1500.1800,6.440000000e-07,8.788000000e-07,7.138000000e-07,7.402000000e-07
1500.1810,6.453000000e-07,8.761000000e-07,7.121000000e-07,7.424000000e-07
1500.1820,6.459000000e-07,8.736000000e-07,7.099000000e-07,7.430000000e-07
1500.1830,6.459000000e-07,8.716000000e-07,7.072000000e-07,7.429000000e-07
1500.1840,6.471000000e-07,8.705000000e-07,7.044000000e-07,7.417000000e-07
1500.1850,6.471000000e-07,8.687000000e-07,7.014000000e-07,7.390000000e-07
1500.1860,6.472000000e-07,8.674000000e-07,6.994000000e-07,7.356000000e-07
1500.1870,6.468000000e-07,8.650000000e-07,6.967000000e-07,7.300000000e-07
1500.1880,6.460000000e-07,8.625000000e-07,6.936000000e-07,7.235000000e-07
1500.1890,6.453000000e-07,8.596000000e-07,6.905000000e-07,7.160000000e-07
1500.1900,6.450000000e-07,8.578000000e-07,6.877000000e-07,7.072000000e-07
1500.1910,6.442000000e-07,8.566000000e-07,6.852000000e-07,6.977000000e-07
1500.1920,6.442000000e-07,8.560000000e-07,6.829000000e-07,6.864000000e-07
1500.1930,6.434000000e-07,8.550000000e-07,6.806000000e-07,6.743000000e-07
1500.1940,6.419000000e-07,8.534000000e-07,6.777000000e-07,6.615000000e-07
1500.1950,6.399000000e-07,8.531000000e-07,6.752000000e-07,6.481000000e-07
1500.1960,6.385000000e-07,8.533000000e-07,6.731000000e-07,6.348000000e-07
1500.1970,6.365000000e-07,8.524000000e-07,6.715000000e-07,6.205000000e-07
1500.1980,6.352000000e-07,8.523000000e-07,6.700000000e-07,6.058000000e-07
1500.1990,6.346000000e-07,8.519000000e-07,6.686000000e-07,5.909000000e-07
1500.2000,6.335000000e-07,8.518000000e-07,6.670000000e-07,5.755000000e-07
1500.2010,6.321000000e-07,8.521000000e-07,6.655000000e-07,5.597000000e-07
1500.2020,6.310000000e-07,8.531000000e-07,6.650000000e-07,5.451000000e-07
1500.2030,6.307000000e-07,8.534000000e-07,6.655000000e-07,5.309000000e-07
1500.2040,6.300000000e-07,8.539000000e-07,6.666000000e-07,5.175000000e-07
1500.2050,6.294000000e-07,8.546000000e-07,6.672000000e-07,5.041000000e-07
1500.2060,6.284000000e-07,8.560000000e-07,6.680000000e-07,4.915000000e-07
1500.2070,6.281000000e-07,8.568000000e-07,6.695000000e-07,4.795000000e-07
1500.2080,6.278000000e-07,8.580000000e-07,6.715000000e-07,4.702000000e-07
1500.2090,6.275000000e-07,8.585000000e-07,6.738000000e-07,4.609000000e-07
1500.2100,6.266000000e-07,8.595000000e-07,6.766000000e-07,4.523000000e-07
1500.2110,6.258000000e-07,8.605000000e-07,6.794000000e-07,4.450000000e-07
1500.2120,6.255000000e-07,8.612000000e-07,6.828000000e-07,4.387000000e-07
1500.2130,6.257000000e-07,8.617000000e-07,6.866000000e-07,4.339000000e-07
1500.2140,6.261000000e-07,8.627000000e-07,6.900000000e-07,4.304000000e-07
1500.2150,6.263000000e-07,8.640000000e-07,6.947000000e-07,4.283000000e-07
1500.2160,6.261000000e-07,8.640000000e-07,6.988000000e-07,4.268000000e-07
1500.2170,6.260000000e-07,8.645000000e-07,7.028000000e-07,4.269000000e-07
1500.2180,6.260000000e-07,8.657000000e-07,7.073000000e-07,4.284000000e-07
1500.2190,6.257000000e-07,8.669000000e-07,7.116000000e-07,4.307000000e-07
1500.2200,6.257000000e-07,8.685000000e-07,7.161000000e-07,4.345000000e-07
1500.2210,6.260000000e-07,8.689000000e-07,7.204000000e-07,4.390000000e-07
1500.2220,6.260000000e-07,8.685000000e-07,7.255000000e-07,4.445000000e-07
