# laser: Santec TSL-550 (HW-triggered continuous sweep)
# sweep: 1500.0000 -> 1555.0000 nm, speed 50.00 nm/s, power 1.000 mW
wavelength_nm,coredaq_ch1_W,coredaq_ch2_W,coredaq_ch3_W,coredaq_ch4_W
1500.0000,4.731000000e-07,4.634000000e-07,4.255000000e-07,3.652000000e-07
1500.0010,4.749000000e-07,4.617000000e-07,4.263000000e-07,3.641000000e-07
1500.0020,4.766000000e-07,4.598000000e-07,4.264000000e-07,3.632000000e-07
1500.0030,4.777000000e-07,4.582000000e-07,4.269000000e-07,3.627000000e-07
1500.0040,4.789000000e-07,4.561000000e-07,4.269000000e-07,3.618000000e-07
1500.0050,4.804000000e-07,4.543000000e-07,4.275000000e-07,3.618000000e-07
1500.0060,4.824000000e-07,4.520000000e-07,4.278000000e-07,3.615000000e-07
1500.0070,4.836000000e-07,4.496000000e-07,4.280000000e-07,3.620000000e-07
1500.0080,4.849000000e-07,4.476000000e-07,4.281000000e-07,3.632000000e-07
1500.0090,4.858000000e-07,4.459000000e-07,4.284000000e-07,3.642000000e-07
1500.0100,4.868000000e-07,4.437000000e-07,4.286000000e-07,3.657000000e-07
1500.0110,4.868000000e-07,4.419000000e-07,4.284000000e-07,3.672000000e-07
1500.0120,4.875000000e-07,4.404000000e-07,4.280000000e-07,3.685000000e-07
1500.0130,4.879000000e-07,4.390000000e-07,4.280000000e-07,3.703000000e-07
1500.0140,4.882000000e-07,4.374000000e-07,4.274000000e-07,3.725000000e-07
1500.0150,4.884000000e-07,4.360000000e-07,4.261000000e-07,3.749000000e-07
1500.0160,4.885000000e-07,4.344000000e-07,4.255000000e-07,3.769000000e-07
1500.0170,4.879000000e-07,4.335000000e-07,4.252000000e-07,3.791000000e-07
1500.0180,4.881000000e-07,4.328000000e-07,4.244000000e-07,3.813000000e-07
1500.0190,4.876000000e-07,4.320000000e-07,4.238000000e-07,3.834000000e-07
1500.0200,4.870000000e-07,4.312000000e-07,4.233000000e-07,3.855000000e-07
1500.0210,4.859000000e-07,4.308000000e-07,4.229000000e-07,3.874000000e-07
1500.0220,4.849000000e-07,4.310000000e-07,4.226000000e-07,3.892000000e-07
1500.0230,4.833000000e-07,4.312000000e-07,4.223000000e-07,3.906000000e-07
1500.0240,4.824000000e-07,4.323000000e-07,4.221000000e-07,3.924000000e-07
1500.0250,4.812000000e-07,4.330000000e-07,4.218000000e-07,3.937000000e-07
1500.0260,4.794000000e-07,4.340000000e-07,4.213000000e-07,3.950000000e-07
1500.0270,4.783000000e-07,4.350000000e-07,4.212000000e-07,3.961000000e-07
1500.0280,4.771000000e-07,4.365000000e-07,4.209000000e-07,3.967000000e-07
1500.0290,4.755000000e-07,4.382000000e-07,4.212000000e-07,3.970000000e-07
1500.0300,4.742000000e-07,4.404000000e-07,4.213000000e-07,3.970000000e-07
1500.0310,4.725000000e-07,4.424000000e-07,4.215000000e-07,3.965000000e-07
1500.0320,4.702000000e-07,4.447000000e-07,4.218000000e-07,3.961000000e-07
1500.0330,4.682000000e-07,4.468000000e-07,4.219000000e-07,3.950000000e-07
1500.0340,4.662000000e-07,4.489000000e-07,4.224000000e-07,3.946000000e-07
1500.0350,4.647000000e-07,4.513000000e-07,4.230000000e-07,3.939000000e-07
1500.0360,4.627000000e-07,4.541000000e-07,4.233000000e-07,3.930000000e-07
1500.0370,4.612000000e-07,4.565000000e-07,4.235000000e-07,3.916000000e-07
1500.0380,4.596000000e-07,4.588000000e-07,4.241000000e-07,3.903000000e-07
1500.0390,4.581000000e-07,4.613000000e-07,4.243000000e-07,3.882000000e-07
1500.0400,4.575000000e-07,4.639000000e-07,4.246000000e-07,3.867000000e-07
1500.0410,4.570000000e-07,4.665000000e-07,4.249000000e-07,3.849000000e-07
1500.0420,4.560000000e-07,4.687000000e-07,4.247000000e-07,3.828000000e-07
1500.0430,4.549000000e-07,4.709000000e-07,4.250000000e-07,3.810000000e-07
1500.0440,4.540000000e-07,4.729000000e-07,4.253000000e-07,3.790000000e-07
1500.0450,4.535000000e-07,4.753000000e-07,4.258000000e-07,3.772000000e-07
1500.0460,4.535000000e-07,4.776000000e-07,4.258000000e-07,3.755000000e-07
